timestamp;DecibelSource
1661882141344;42,5790735631989
1661882141385;48,4240179122531
1661882141425;47,8213325102738
1661882141465;53,6702103957916
1661882141505;45,0663305985803
1661882141545;29,3293302762536
1661882141584;15,8758319487266
1661882141624;13,2899812707969
1661882141665;12,3192901935424
1661882141705;48,0489808006196
1661882141745;58,0095320127994
1661882141785;57,6877484996048
1661882141834;57,5496296776671
1661882141875;54,3434131167991
1661882141916;45,3325320215092
1661882141957;13,5044488457059
1661882141995;6,86979216248111
1661882142037;6,98921531264714
1661882142075;11,2124538740661
1661882142116;35,5149118221612
1661882142155;41,9302491195615
1661882142196;41,1999213596817
1661882142237;36,8399650148597
1661882142276;29,1051035950923
1661882142315;50,2257301939971
1661882142350;54,0691251744475
1661882142401;52,4233163238282
1661882142439;46,1387599155039
1661882142480;53,4628538468898
1661882142520;56,2955905951852
1661882142560;58,5053282877533
1661882142747;65,987154712066
1661882142797;68,3204413201307
1661882142875;42,6918791481084
1661882142920;45,6406382190303
1661882142955;41,9771521974228
1661882142995;6,69750510116292
1661882143446;29,9431764375716
1661882143485;43,1118735785859
1661882143525;48,4687176592943
1661882143565;41,9168951112655
1661882143685;45,1262468245638
1661882143724;54,4748144366287
1661882143765;52,6160562084306
1661882143805;60,5877724383194
1661882143845;59,5350552050643
1661882143894;51,5085530130348
1661882143935;51,9905370170175
1661882143974;54,0299352557665
1661882144016;51,6435894109669
1661882144055;49,4423127504475
1661882144095;44,9585448357804
1661882144136;33,4262059310236
1661882144175;36,0962733686212
1661882144216;62,0107551703017
1661882144255;65,6409761553954
1661882144295;64,1466558690874
1661882144340;59,9310992895458
1661882144375;55,4587597089392
1661882144417;53,2371906652251
1661882144466;47,0890747008333
1661882144505;35,5787688281422
1661882144547;46,5336777430155
1661882144586;49,4521372770048
1661882144626;44,5312438967992
1661882144665;41,5361127510844
1661882144701;13,1880141445226
1661882144741;10,4354647021244
1661882144781;9,86211715514366
1661882144825;8,61473068511957
1661882144861;8,13435031758919
1661882144900;48,4081761241296
1661882144940;57,7845484622955
1661882144981;55,3307584310208
1661882145032;50,249683735574
1661882145070;47,5057873575549
1661882145111;45,8730573534816
1661882145151;42,5331303912408
1661882145192;29,5636569866182
1661882145230;14,8594946244476
1661882145273;11,9307488231274
1661882145312;8,88550544379754
